date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2020-12-31,002900,125070729080.0,588230054320.0,713300783400.0
2022-12-31,000500,88533597860.0,1327920806470.0,1416454404330.0
2021-12-31,000500,61774237330.0,1008608967460.0,1070383204790.0
2020-12-31,000500,47965060290.0,809450188770.0,857415249060.0
2022-12-31,000860,65259222930.0,607906965550.0,673166188480.0
2021-12-31,000860,45144377930.0,545839622050.0,590983999980.0
2020-12-31,000860,42394707090.0,298412645410.0,340807352500.0
2022-12-31,035250,348895092240.0,921790726860.0,1270685819100.0
2021-12-31,035250,61649605120.0,726783224800.0,788432829920.0
2020-12-31,035250,-65920771260.0,544499637600.0,478578866340.0
2022-12-31,011420,10033262330.0,20060621110.0,30093883440.0
2021-12-31,011420,7875362030.0,21024104670.0,28899466700.0
2020-12-31,011420,2873696550.0,16665897320.0,19539593870.0
2022-12-31,002100,110424494510.0,251180078570.0,361604573080.0
2021-12-31,002100,83218250930.0,187051198710.0,270269449640.0
2020-12-31,002100,80611234220.0,167684289580.0,248295523800.0
2023-12-31,009450,513978518720.0,690334353030.0,1204312871750.0
2022-12-31,009450,467907850220.0,692952938380.0,1160860788600.0
2021-12-31,009450,419117742770.0,683829267230.0,1102947010000.0
2020-12-31,009450,337079002100.0,536330016710.0,873409018810.0
2022-12-31,002240,302087594060.0,1770462629070.0,2072550223130.0
2021-12-31,002240,258274080740.0,1433080796350.0,1691354877090.0
2020-12-31,002240,164389999400.0,1232982010500.0,1397372009900.0
2022-12-31,009290,282047726610.0,1149497528520.0,1431545255130.0
2021-12-31,009290,274252688220.0,1063928866100.0,1338181554320.0
2020-12-31,009290,257708535760.0,986061060460.0,1243769596220.0
2022-12-31,014530,67344549330.0,1175131286120.0,1242475835450.0
2021-12-31,014530,52082819770.0,912748922780.0,964831742550.0
2020-12-31,014530,41941829520.0,580919345390.0,622861174910.0
2023-12-31,014280,158067345710.0,698825354800.0,856892700510.0
2022-12-31,014280,110346459630.0,618585240800.0,728931700430.0
2021-12-31,014280,96484228680.0,474051303850.0,570535532530.0
2020-12-31,014280,69271507660.0,432661800220.0,501933307880.0
2023-12-31,014285,158067345710.0,698825354800.0,856892700510.0
2022-12-31,014285,110346459630.0,618585240800.0,728931700430.0
2021-12-31,014285,96484228680.0,474051303850.0,570535532530.0
2020-12-31,014285,69271507660.0,432661800220.0,501933307880.0
2023-12-31,214330,31954978680.0,332365472180.0,364320450860.0
2022-12-31,214330,28899284520.0,248871068710.0,277770353230.0
2021-12-31,214330,21255778210.0,212729788960.0,233985567170.0
2020-12-31,214330,6816465740.0,212816091710.0,219632557450.0
2023-12-31,000270,22628847000000.0,77179573000000.0,99808420000000.0
2022-12-31,000270,18023019000000.0,68536010000000.0,86559029000000.0
2021-12-31,000270,12925201000000.0,56937165000000.0,69862366000000.0
2020-12-31,000270,9945532000000.0,49222564000000.0,59168096000000.0
2022-12-31,025860,174164728050.0,1995401142470.0,2169565870520.0
2021-12-31,025860,120863978550.0,1331020428730.0,1451884407280.0
2020-12-31,025860,116718870540.0,893126377680.0,1009845248220.0
2022-12-31,092790,262748233120.0,405655416690.0,668403649810.0
2021-12-31,092790,107797831520.0,316920716540.0,424718548060.0
2022-12-31,006280,581804463260.0,1129508276270.0,1711312739530.0
2021-12-31,006280,520593271960.0,1017232478290.0,1537825750250.0
2020-12-31,006280,440626609400.0,1063488669250.0,1504115278650.0
2022-12-31,005250,698336717330.0,1381223253670.0,2079559971000.0
2021-12-31,005250,628541184370.0,1212017418630.0,1840558603000.0
2020-12-31,005250,530290891280.0,1189034758720.0,1719325650000.0
2022-12-31,005257,698336717330.0,1381223253670.0,2079559971000.0
2021-12-31,005257,628541184370.0,1212017418630.0,1840558603000.0
2020-12-31,005257,530290891280.0,1189034758720.0,1719325650000.0
2022-12-31,058730,41671100140.0,336810355170.0,378481455310.0
2021-12-31,058730,33472974240.0,330127194950.0,363600169190.0
2020-12-31,058730,14659330840.0,209819177890.0,224478508730.0
2022-12-31,019680,101739284560.0,581337059180.0,683076343740.0
2021-12-31,019680,92574023120.0,545820729430.0,638394752550.0
2020-12-31,019680,84287573950.0,542718015870.0,627005589820.0
2022-12-31,019685,101739284560.0,581337059180.0,683076343740.0
2021-12-31,019685,92574023120.0,545820729430.0,638394752550.0
2020-12-31,019685,84287573950.0,542718015870.0,627005589820.0
2022-12-31,353200,296851516500.0,1019311903750.0,1316163420250.0
2021-12-31,353200,117649521170.0,883281997610.0,1000931518780.0
2020-12-31,353200,37333612130.0,573586291190.0,610919903320.0
2022-12-31,35320K,296851516500.0,1019311903750.0,1316163420250.0
2021-12-31,35320K,117649521170.0,883281997610.0,1000931518780.0
2020-12-31,35320K,37333612130.0,573586291190.0,610919903320.0
2022-12-31,000490,313711362480.0,1150026567240.0,1463737929720.0
2021-12-31,000490,216387049900.0,962806271910.0,1179193321810.0
2020-12-31,000490,178557931500.0,717193492940.0,895751424440.0
2023-12-31,001680,1019013836410.0,3088480107390.0,4107493943800.0
2022-12-31,001680,970337484180.0,3113752793390.0,4084090277570.0
2021-12-31,001680,883203177250.0,2586789345570.0,3469992522820.0
2020-12-31,001680,847089311770.0,2266114356350.0,3113203668120.0
2023-12-31,001685,1019013836410.0,3088480107390.0,4107493943800.0
2022-12-31,001685,970337484180.0,3113752793390.0,4084090277570.0
2021-12-31,001685,883203177250.0,2586789345570.0,3469992522820.0
2020-12-31,001685,847089311770.0,2266114356350.0,3113203668120.0
2023-12-31,084690,1255980952730.0,4003419477410.0,5259400430140.0
2022-12-31,084690,1199435807360.0,4027224012710.0,5226659820070.0
2021-12-31,084690,1112714824860.0,3093254356880.0,4205969181740.0
2020-12-31,084690,1052242883000.0,2702056078400.0,3754298961400.0
2023-12-31,084695,1255980952730.0,4003419477410.0,5259400430140.0
2022-12-31,084695,1199435807360.0,4027224012710.0,5226659820070.0
2021-12-31,084695,1112714824860.0,3093254356880.0,4205969181740.0
2020-12-31,084695,1052242883000.0,2702056078400.0,3754298961400.0
2022-12-31,128820,171650111180.0,1699655673790.0,1871305784970.0
2021-12-31,128820,133652296950.0,995481363030.0,1129133659980.0
2020-12-31,128820,103250340050.0,729132561900.0,832382901950.0
2022-12-31,009190,25839121240.0,229128528050.0,254967649290.0
2021-12-31,009190,22192025800.0,181231875830.0,203423901630.0
2020-12-31,009190,6242702730.0,134252781160.0,140495483890.0
2022-12-31,047040,1253693377280.0,9165519754850.0,10419213132130.0
2021-12-31,047040,1238864576900.0,7446343102760.0,8685207679660.0
2020-12-31,047040,1000291061310.0,7136414675330.0,8136705736640.0
2023-12-31,003090,931247087120.0,882594375000.0,1813841462120.0
2022-12-31,003090,899651918580.0,797686564000.0,1697338482580.0
2021-12-31,003090,762999930810.0,748373650000.0,1511373580810.0
2020-12-31,003090,626457188750.0,728880198000.0,1355337386750.0
2023-12-31,003220,257247325090.0,269704719970.0,526952045060.0
2022-12-31,003220,237941998910.0,240942657450.0,478884656360.0
2021-12-31,003220,176467893510.0,177708541650.0,354176435160.0
2020-12-31,003220,165937288220.0,142563727640.0,308501015860.0
2022-12-31,015230,80483362950.0,341014294880.0,421497657830.0
2021-12-31,015230,55552636180.0,298887025610.0,354439661790.0
2020-12-31,015230,39209565620.0,225262666070.0,264472231690.0
2023-12-31,001130,258109550080.0,1183348997430.0,1441458547510.0
2022-12-31,001130,228153737180.0,1140016314250.0,1368170051430.0
2021-12-31,001130,198239437420.0,913102296710.0,1111341734130.0
2020-12-31,001130,186896860000.0,783351408170.0,970248268170.0
2022-12-31,005880,340527617420.0,1271486846760.0,1612014464180.0
2021-12-31,005880,266757636660.0,887085422780.0,1153843059440.0
2020-12-31,005880,203664504320.0,680413765020.0,884078269340.0
2022-12-31,003830,14574453650.0,136289758610.0,150864212260.0
2021-12-31,003830,11063834030.0,106283040630.0,117346874660.0
2020-12-31,003830,9376879150.0,77516379920.0,86893259070.0
2022-12-31,016090,186480022940.0,132825256650.0,319305279590.0
2021-12-31,016090,163266437000.0,124630004050.0,287896441050.0
2020-12-31,016090,132963555780.0,120235389840.0,253198945620.0
2022-12-31,069460,14622022580.0,159414718160.0,174036740740.0
2021-12-31,069460,8698162660.0,134703595610.0,143401758270.0
2020-12-31,069460,6602277310.0,114824164210.0,121426441520.0
2022-12-31,024900,56407900340.0,1485618343970.0,1542026244310.0
2021-12-31,024900,28377203110.0,1319859711620.0,1348236914730.0
2020-12-31,024900,17404868710.0,1274620119490.0,1292024988200.0
2022-12-31,145720,260676210250.0,95189764790.0,355865975040.0
2021-12-31,145720,193153820450.0,98375867020.0,291529687470.0
2020-12-31,145720,142797046530.0,86952384790.0,229749431320.0
2023-12-31,460850,74128348400.0,1192020721880.0,1266149070280.0
2023-12-31,460860,404052211840.0,2228051917460.0,2632104129300.0
2022-12-31,001230,1169007254640.0,7342119028440.0,8511126283080.0
2021-12-31,001230,1161130955960.0,6079165575140.0,7240296531100.0
2020-12-31,001230,596351218160.0,4609840343150.0,5206191561310.0
2022-12-31,004140,88576778610.0,669956503230.0,758533281840.0
2021-12-31,004140,78274995540.0,517672338610.0,595947334150.0
2020-12-31,004140,72498395640.0,519556089510.0,592054485150.0
