date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2023-03-31,006360,346093238760.0,3166588301540.0,3512681540300.0
2022-12-31,006360,354445151300.0,3567928653330.0,3922373804630.0
2023-09-30,001250,51091192660.0,866363832100.0,917455024760.0
2023-06-30,001250,49699604820.0,960635688260.0,1010335293080.0
2023-03-31,001250,52728260860.0,950211271700.0,1002939532560.0
2022-12-31,001250,49382231750.0,1116810917390.0,1166193149140.0
2023-12-31,007070,724468144990.0,2139850038040.0,2864318183030.0
2023-09-30,007070,789639075690.0,2300578895960.0,3090217971650.0
2023-06-30,007070,755266630500.0,2202500773780.0,2957767404280.0
2023-03-31,007070,690650218640.0,2009594143120.0,2700244361760.0
2022-12-31,007070,741641817290.0,2146843734540.0,2888485551830.0
2023-09-30,078935,1970405000000.0,4515888000000.0,6486293000000.0
2023-06-30,078935,1460678000000.0,4703042000000.0,6163720000000.0
2023-03-31,078935,1794586000000.0,5041934000000.0,6836520000000.0
2022-12-31,078935,1663677000000.0,5479028000000.0,7142705000000.0
2023-09-30,012630,184909328570.0,1275095759100.0,1460005087670.0
2023-06-30,012630,129025974530.0,1240313755290.0,1369339729820.0
2023-03-31,012630,167503027220.0,1322281647790.0,1489784675010.0
2022-12-31,012630,186989211310.0,1142851337640.0,1329840548950.0
2023-09-30,039570,11920856470.0,142896503600.0,154817360070.0
2023-06-30,039570,13178790720.0,138404742720.0,151583533440.0
2023-03-31,039570,11298424350.0,112029928910.0,123328353260.0
2022-12-31,039570,16883691190.0,151792463680.0,168676154870.0
2023-09-30,089470,27426716450.0,221542008210.0,248968724660.0
2023-06-30,089470,24702487470.0,232136933650.0,256839421120.0
2023-03-31,089470,26579640700.0,232381933190.0,258961573890.0
2022-12-31,089470,26138210990.0,233441188480.0,259579399470.0
2023-12-31,294870,126750716970.0,1022340653700.0,1149091370670.0
2023-09-30,294870,104851850910.0,928300180560.0,1033152031470.0
2023-06-30,294870,58530628580.0,875102268230.0,933632896810.0
2023-03-31,294870,90604264740.0,984307584650.0,1074911849390.0
2022-12-31,294870,120965993490.0,794313139660.0,915279133150.0
2023-09-30,009540,296944556000.0,4714261305000.0,5011205861000.0
2023-06-30,009540,282729319000.0,5170910682000.0,5453640001000.0
2023-03-31,009540,203765699000.0,4638593786000.0,4842359485000.0
2022-12-31,009540,184278142000.0,4756992348000.0,4941270490000.0
2023-09-30,267250,1402377921000.0,12320863171000.0,13723241092000.0
2023-06-30,267250,1182501222000.0,14438783391000.0,15621284613000.0
2023-03-31,267250,1271765458000.0,14002205209000.0,15273970667000.0
2022-12-31,267250,921710219000.0,15590125506000.0,16511835725000.0
2023-09-30,267270,171127061000.0,757595004000.0,928722065000.0
2023-06-30,267270,208011874000.0,824099708000.0,1032111582000.0
2023-03-31,267270,193922276000.0,824350431000.0,1018272707000.0
2022-12-31,267270,145771721000.0,687626873000.0,833398594000.0
2023-09-30,322000,17056256710.0,123874503470.0,140930760180.0
2023-06-30,322000,18581539770.0,132469503960.0,151051043730.0
2023-03-31,322000,23565714840.0,117246858870.0,140812573710.0
2022-12-31,322000,53985473020.0,222352646260.0,276338119280.0
2023-09-30,042670,259667542030.0,816552996690.0,1076220538720.0
2023-06-30,042670,332001013760.0,981961845870.0,1313962859630.0
2023-03-31,042670,318164858730.0,969673233530.0,1287838092260.0
2022-12-31,042670,266064306100.0,970691967990.0,1236756274090.0
2023-09-30,267260,166735262170.0,527683250760.0,694418512930.0
