date,ticker,Gross Profit,Cost Of Revenue,Total Revenue
2021-12-31,078935,4935588000000.0,15229461000000.0,20165049000000.0
2020-12-31,078935,2758692000000.0,12685522000000.0,15444214000000.0
2022-12-31,012630,544551564370.0,4500392967250.0,5044944531620.0
2021-12-31,012630,818976738190.0,3960609590610.0,4779586328800.0
2020-12-31,012630,869193893190.0,3082669108900.0,3951863002090.0
2022-12-31,039570,53857266870.0,556873810170.0,610731077040.0
2021-12-31,039570,26551908660.0,248027619590.0,274579528250.0
2020-12-31,039570,29490391420.0,230927042510.0,260417433930.0
2022-12-31,089470,83744163210.0,962135840390.0,1045880003600.0
2021-12-31,089470,84391415980.0,775365685940.0,859757101920.0
2020-12-31,089470,84363677780.0,605057732450.0,689421410230.0
2023-12-31,294870,380737461200.0,3810050687140.0,4190788148340.0
2022-12-31,294870,316450373710.0,2981849268020.0,3298299641730.0
2021-12-31,294870,496296362500.0,2867609243290.0,3363905605790.0
2020-12-31,294870,785072723800.0,2885152256610.0,3670224980410.0
2022-12-31,009540,366439553000.0,16935580632000.0,17302020185000.0
2021-12-31,009540,-516737814000.0,16010119587000.0,15493381773000.0
2020-12-31,009540,744653105000.0,14159004629000.0,14903657734000.0
2022-12-31,267250,5966570425000.0,54883097648000.0,60849668073000.0
2021-12-31,267250,2617374821000.0,25736296657000.0,28353671478000.0
2020-12-31,267250,569687282000.0,18341294237000.0,18910981519000.0
2022-12-31,267270,602038002000.0,2913573919000.0,3515611921000.0
2021-12-31,267270,532625513000.0,2751714110000.0,3284339623000.0
2020-12-31,267270,428309249000.0,1962200545000.0,2390509794000.0
2022-12-31,322000,185269265820.0,799543147300.0,984812413120.0
2021-12-31,322000,75898273970.0,517265307900.0,593163581870.0
2020-12-31,322000,52920593660.0,341476118900.0,394396712560.0
2022-12-31,042670,1007621308160.0,3748492193510.0,4756113501670.0
2021-12-31,042670,991318318460.0,3602346827880.0,4593665146340.0
2020-12-31,042670,842033952770.0,3146070044290.0,3988103997060.0
2022-12-31,267260,336305268940.0,1768194218390.0,2104499487330.0
2021-12-31,267260,235126488180.0,1570865258700.0,1805991746880.0
